microbial_species,total_count,study,principal_investigator,study_count
Achromobacter,5,ICEMAN,Ziegler,3
Achromobacter,5,SOTDDI,Anesi,2
Acinetobacter,43,CRACKLE,Lautenbach,12
Acinetobacter,43,ICEMAN,Ziegler,9
Acinetobacter,43,MIRA,Kelly,3
Acinetobacter,43,SOTDDI,Anesi,19
Citrobacter,135,ARLG_SOT,Anesi,4
Citrobacter,135,CRE,Anesi,52
Citrobacter,135,ICEMAN,Ziegler,47
Citrobacter,135,INTEGRATE,Lautenbach,19
Citrobacter,135,MERLIN,Lautenbach,5
Citrobacter,135,SOTDDI,Anesi,8
Clostridioides,38,ICEMAN,Ziegler,38
Corynebacterium,10,ALCHEMY,Ziegler,1
Corynebacterium,10,SOTDDI,Anesi,9
Cutibacterium,3,SOTDDI,Anesi,3
Enterobacter,177,ARLG_SOT,Anesi,8
Enterobacter,177,CRE,Anesi,65
Enterobacter,177,FACEMDRO,NA,1
Enterobacter,177,ICEMAN,Ziegler,27
Enterobacter,177,INTEGRATE,Lautenbach,40
Enterobacter,177,MERLIN,Lautenbach,8
Enterobacter,177,SOTDDI,Anesi,28
Enterococcus,149,CRE,Anesi,1
Enterococcus,149,ICEMAN,Ziegler,118
Enterococcus,149,INTEGRATE,Lautenbach,1
Enterococcus,149,SOTDDI,Anesi,29
Escherichia,265,CRE,Anesi,74
Escherichia,265,IMPALA_BC,Lautenbach,39
Escherichia,265,INTEGRATE,Lautenbach,31
Escherichia,265,MERLIN,Lautenbach,112
Escherichia,265,SOTDDI,Anesi,9
Haemophilus,7,SOTDDI,Anesi,7
Klebsiella,1343,ALCHEMY,Ziegler,3
Klebsiella,1343,ARLG_SOT,Anesi,43
Klebsiella,1343,CRE,Anesi,372
Klebsiella,1343,ICEMAN,Ziegler,76
Klebsiella,1343,IMPALA_BC,Lautenbach,97
Klebsiella,1343,INTEGRATE,Lautenbach,664
Klebsiella,1343,MERLIN,Lautenbach,34
Klebsiella,1343,MIRA,Kelly,2
Klebsiella,1343,SOTDDI,Anesi,52
Morganella,13,CRE,Anesi,5
Morganella,13,ICEMAN,Ziegler,8
Proteus,16,ARLG_SOT,Anesi,2
Proteus,16,CRE,Anesi,7
Proteus,16,FACEMDRO,NA,1
Proteus,16,ICEMAN,Ziegler,2
Proteus,16,SOTDDI,Anesi,4
Providencia,32,CRE,Anesi,25
Providencia,32,ICEMAN,Ziegler,6
Providencia,32,SOTDDI,Anesi,1
Pseudomonas,260,CRE,Anesi,1
Pseudomonas,260,ICEMAN,Ziegler,173
Pseudomonas,260,INTEGRATE,Lautenbach,1
Pseudomonas,260,MIRA,Kelly,28
Pseudomonas,260,SOTDDI,Anesi,42
Pseudomonas,260,TRIP-AMR,Kelly,15
Raoultella,23,ARLG_SOT,Anesi,2
Raoultella,23,CRE,Anesi,10
Raoultella,23,ICEMAN,Ziegler,10
Raoultella,23,SOTDDI,Anesi,1
Serratia,69,ARLG_SOT,Anesi,4
Serratia,69,CRE,Anesi,11
Serratia,69,INTEGRATE,Lautenbach,29
Serratia,69,MERLIN,Lautenbach,1
Serratia,69,MIRA,Kelly,3
Serratia,69,SOTDDI,Anesi,21
Staphylococcus,12068,ALCHEMY,Ziegler,8
Staphylococcus,12068,ICEMAN,Ziegler,105
Staphylococcus,12068,MIRA,Kelly,7
Staphylococcus,12068,MRSA,David,8517
Staphylococcus,12068,SOTDDI,Anesi,149
Staphylococcus,12068,SPREAD,David,2617
Staphylococcus,12068,SPRHCW,David,665
Stenotrophomonas,45,ICEMAN,Ziegler,27
Stenotrophomonas,45,MIRA,Kelly,3
Stenotrophomonas,45,SOTDDI,Anesi,15
Streptococcus,39,ALCHEMY,Ziegler,1
Streptococcus,39,SOTDDI,Anesi,38
